nominal_coverage,empirical_coverage,median_width_dollars
0.5,0.5342465753424658,20331.20290970456
0.6,0.565068493150685,23269.77295528078
0.7,0.7054794520547946,29258.190778991142
0.8,0.815068493150685,45084.707412588104
0.9,0.9041095890410958,64025.24034697585
0.95,0.9315068493150684,85060.09813571407
