period_index,date,YrSold,MoSold,n_available,median_interval_width,empirical_coverage,is_crash,mean_predicted_arv,mean_actual_price,prediction_bias_pct,conservative_flip__buy_all_n_bought,conservative_flip__buy_all_n_profitable,conservative_flip__buy_all_realized_profit,conservative_flip__naive_point_n_bought,conservative_flip__naive_point_n_profitable,conservative_flip__naive_point_realized_profit,conservative_flip__uncertainty_aware_n_bought,conservative_flip__uncertainty_aware_n_profitable,conservative_flip__uncertainty_aware_realized_profit,ibuyer__buy_all_n_bought,ibuyer__buy_all_n_profitable,ibuyer__buy_all_realized_profit,ibuyer__naive_point_n_bought,ibuyer__naive_point_n_profitable,ibuyer__naive_point_realized_profit,ibuyer__uncertainty_aware_n_bought,ibuyer__uncertainty_aware_n_profitable,ibuyer__uncertainty_aware_realized_profit,conservative_flip__buy_all_cum_profit,conservative_flip__naive_point_cum_profit,conservative_flip__uncertainty_aware_cum_profit,ibuyer__buy_all_cum_profit,ibuyer__naive_point_cum_profit,ibuyer__uncertainty_aware_cum_profit
10,2007-11,2007,11,41,81376.71152403808,0.926829268292683,False,195786.84017052138,191124.34146341463,0.02439510672165873,41,38,1700060.114319792,41,38,1700060.114319792,5,5,161596.9228594902,41,31,385194.85310260433,13,9,181937.36547964602,2,2,24473.672820028733,29499028.982287705,29464981.3601811,7457390.497135516,9695929.764206493,4264104.337102577,585442.0323628365
11,2007-12,2007,12,32,74805.90741161685,0.8125,False,196947.9693990883,205388.25,-0.041094271950375474,32,32,1754919.110122781,32,32,1754919.110122781,11,11,487032.5111989014,32,26,722596.6337205191,13,9,370468.4221626516,2,2,1800.1731279167543,31253948.092410486,31219900.470303882,7944423.008334418,10418526.397927012,4634572.759265229,587242.2054907533
12,2008-01,2008,1,29,70541.5473737128,0.8275862068965517,True,185719.07601944474,187623.62068965516,-0.010150878994925146,29,27,1324138.8104313568,29,27,1324138.8104313568,10,10,304502.76678765507,29,22,441936.0555237901,10,8,225135.7740736465,4,4,36728.3834776462,32578086.902841844,32544039.28073524,8248925.775122073,10860462.453450803,4859708.5333388755,623970.5889683994
13,2008-02,2008,2,28,50363.58884562176,0.7857142857142857,True,178229.2958688777,181744.14285714287,-0.019339533769888586,28,26,1274158.7346592378,27,26,1306934.5364369717,17,16,630369.7846116459,28,21,456727.89208621753,7,6,312756.962009165,11,9,121695.52893086616,33852245.63750108,33850973.817172214,8879295.559733719,11317190.34553702,5172465.495348041,745666.1178992656
14,2008-03,2008,3,35,52246.75655694275,0.8571428571428571,True,165307.4615068487,164092.0285714286,0.007407019987512865,35,35,1320585.1748457702,34,34,1318841.6958436936,23,23,779975.1619491745,35,21,372877.4980270063,4,1,22040.369172678784,12,10,149583.5397044794,35172830.81234685,35169815.51301591,9659270.721682893,11690067.843564026,5194505.864520719,895249.657603745
15,2008-04,2008,4,61,49834.6635714124,0.8688524590163934,True,158519.38123265153,160224.18032786885,-0.010640086232482266,61,61,2382169.8841314325,61,61,2382169.8841314325,40,40,1371852.9427014352,61,48,798275.9307310252,10,9,161245.93355890072,15,13,236157.2614398654,37555000.696478285,37551985.39714734,11031123.664384328,12488343.77429505,5355751.79807962,1131406.9190436103
16,2008-05,2008,5,83,50045.14383419875,0.9156626506024096,True,170441.77306045571,172843.4939759036,-0.01389535041326299,83,82,3532297.6198247764,82,81,3510014.995251891,56,55,2070101.4185326288,83,75,1215073.5383586555,17,14,383709.8299923231,32,30,502762.1762870113,41087298.31630306,41062000.39239924,13101225.082916956,13703417.312653705,5739461.628071943,1634169.0953306216
17,2008-06,2008,6,108,60723.641839229815,0.9259259259259259,True,185681.86638094162,187780.75,-0.01117730980975623,108,106,4951317.384548088,108,106,4951317.384548088,50,50,1888492.3857930817,108,93,1666530.8955226769,30,22,487706.3803133699,24,22,281718.84207336255,46038615.70085115,46013317.77694733,14989717.468710039,15369948.208176382,6227168.008385314,1915887.9374039841
18,2008-07,2008,7,101,55333.203010663914,0.8910891089108911,True,180368.93718233335,180813.56435643564,-0.0024590366087015765,101,99,4336894.426200266,101,99,4336894.426200266,52,52,2025430.8578326744,101,79,1352906.8032431784,25,20,519014.3837835071,32,30,511900.04070092936,50375510.12705141,50350212.20314759,17015148.326542713,16722855.01141956,6746182.392168821,2427787.9781049136
19,2008-08,2008,8,51,74789.4088652273,0.8431372549019608,True,196757.29148239657,193531.29411764705,0.016669125163749732,51,50,2199631.04593366,51,50,2199631.04593366,21,20,624553.0049727492,51,36,555959.9843480155,19,14,310151.89996601385,8,7,89511.69118903144,52575141.17298508,52549843.249081254,17639701.33151546,17278814.995767575,7056334.292134834,2517299.669293945
20,2008-09,2008,9,35,60044.88367495249,0.9428571428571428,True,171050.56143448784,175449.85714285713,-0.025074376120963356,35,34,1564458.2793817122,35,34,1564458.2793817122,17,16,571920.380976433,35,29,583825.4106777933,9,7,251616.9988739181,10,10,137379.74169857486,54139599.45236679,54114301.52846297,18211621.712491896,17862640.40644537,7307951.291008753,2654679.41099252
21,2008-10,2008,10,30,48290.3366541177,0.8333333333333334,True,178566.77401429138,171079.43333333332,0.04376528805990159,30,30,1037489.7383042709,30,30,1037489.7383042709,20,20,605058.4348175786,30,20,160012.61079804302,4,2,-2354.0716740928547,11,9,63452.98754820252,55177089.190671064,55151791.26676724,18816680.147309475,18022653.01724341,7305597.21933466,2718132.3985407227
22,2008-11,2008,11,34,75037.73412745396,0.9411764705882353,True,178452.490217475,185362.88235294117,-0.03728034462858869,34,32,1664429.1602439112,34,32,1664429.1602439112,12,11,370671.4307532805,34,31,670591.5517247496,9,9,360979.12789336016,10,10,99255.8839326972,56841518.35091498,56816220.427011155,19187351.578062754,18693244.568968162,7666576.34722802,2817388.28247342
